OrderID,CustomerID,OrderDate,ProductID,Item Name,Brand,Category,Quantity,Base Price,TotalPrice,Description
10000,U001,1/1/2024,P0233,Great Value Lactose Free 2% Milk 0.5 gal,Great Value,Dairy,2,2.48,2.482.48,0.5 gallon lactose free milk
10000,U001,1/1/2024,P0721,Great Value Large White Eggs 120ct,Great Value,Dairy,1,19.98,19.98,120ct large white eggs
10000,U001,1/1/2024,P0003,Great Value White Sandwich Bread 20oz,Great Value,Bakery,1,1.48,1.48,White sandwich bread loaf
10000,U001,1/1/2024,P0696,Land O Lakes Whipped Butter 30oz,Land O Lakes,Dairy,1,7.98,7.98,30oz whipped butter
10000,U001,1/1/2024,P0195,Great Value Shells & Cheese 12oz,Great Value,Pantry,1,1.98,1.98,12oz shells & cheese
10000,U001,1/1/2024,P0499,Great Value Yukon Gold Potatoes 10lb,Great Value,Produce,2,6.98,6.986.98,10lb Yukon Gold potatoes
10000,U001,1/1/2024,P0188,Marketside Organic Green Onions Bunch,Marketside,Produce,3,1.48,1.481.481.48,Bunch of green onions
10000,U001,1/1/2024,P0084,Quaker Rice Crisps Caramel 3.52oz,Quaker,Snacks,1,2.38,2.38,3.52oz caramel rice crisps
10000,U001,1/1/2024,P0204,Tyson Fully Cooked Chicken Patties 26oz,Tyson,Meat,3,6.98,6.986.986.98,26oz chicken patties
10000,U001,1/1/2024,P0193,Great Value Apple Cider 64oz,Great Value,Beverages,1,2.98,2.98,64oz apple cider
10000,U001,1/1/2024,P0021,Marketside Bananas Bunch,Marketside,Produce,3,1.18,1.181.181.18,Bunch of bananas
10000,U001,1/1/2024,P0057,Great Value Crunchy Peanut Butter 40oz,Great Value,Pantry,1,3.47,3.47,40oz crunchy peanut butter
10000,U001,1/1/2024,P0228,Smucker's Natural Concord Grape Jelly 17.25oz,Smucker's,Pantry,1,3.48,3.48,17.25oz grape jelly
10000,U001,1/1/2024,P0113,Great Value Cut Green Beans 14.5oz,Great Value,Canned Goods,1,0.5,0.5,14.5oz green beans
10000,U001,1/1/2024,P0621,Marketside Organic Romaine Lettuce 6ct,Marketside,Produce,1,6.98,6.98,6ct organic romaine lettuce
10000,U001,1/1/2024,P0574,Quaker Chewy Yogurt Granola Bars 10ct,Quaker,Snacks,1,4.68,4.68,10ct yogurt granola bars
10000,U001,1/1/2024,P0088,Smucker's Natural Strawberry Fruit Spread 17.25oz,Smucker's,Pantry,1,3.48,3.48,17.25oz fruit spread
10000,U001,1/1/2024,P0692,Marketside Organic Cherry Tomatoes 20oz,Marketside,Produce,1,5.98,5.98,20oz organic cherry tomatoes
10000,U001,1/1/2024,P0752,Marketside Organic Mini Sweet Peppers 64oz,Marketside,Produce,3,12.98,12.9812.9812.98,64oz mini sweet peppers
10000,U001,1/1/2024,P0808,Marketside Organic Strawberries 40oz,Marketside,Produce,2,13.98,13.9813.98,40oz organic strawberries
10000,U001,1/1/2024,P0465,Oscar Mayer Selects Uncured Angus Beef Hot Dogs 14oz,Oscar Mayer,Meat,2,4.48,4.484.48,14oz angus beef hot dogs
10000,U001,1/1/2024,P0061,Great Value Large Brown Eggs 18ct,Great Value,Dairy,1,3.28,3.28,18 large brown eggs
10000,U001,1/1/2024,P0438,Marketside Organic Black Seedless Grapes 2lb,Marketside,Produce,1,5.98,5.98,2lb organic black grapes
10000,U001,1/1/2024,P0802,Marketside Organic Baby Spinach 20oz,Marketside,Produce,1,7.98,7.98,20oz organic baby spinach
10000,U001,1/1/2024,P0472,Clorox Scentiva Disinfecting Spray 32oz,Clorox,Household,1,3.98,3.98,32oz disinfecting spray
10000,U001,1/1/2024,P0975,Oscar Mayer Smoked Ham 128oz,Oscar Mayer,Meat,1,39.98,39.98,128oz smoked ham
10000,U001,1/1/2024,P0435,Oscar Mayer Selects Natural Uncured Beef Franks 14oz,Oscar Mayer,Meat,2,4.48,4.484.48,14oz natural beef franks
10000,U001,1/1/2024,P0451,Marketside Organic Roma Tomatoes 2lb,Marketside,Produce,3,4.98,4.984.984.98,2lb organic roma tomatoes
10000,U001,1/1/2024,P0405,Oscar Mayer Turkey Bacon 12oz,Oscar Mayer,Meat,1,3.98,3.98,12oz turkey bacon
10000,U001,1/1/2024,P0806,Land O Lakes Butter with Olive Oil & Sea Salt 48oz,Land O Lakes,Dairy,1,13.98,13.98,48oz butter with olive oil
10000,U001,1/1/2024,P0488,Smucker's Natural Grape Fruit Spread 17.25oz,Smucker's,Pantry,2,3.48,3.483.48,17.25oz grape fruit spread
10000,U001,1/1/2024,P0468,Marketside Organic Green Seedless Grapes 2lb,Marketside,Produce,1,5.98,5.98,2lb organic green grapes
